Frequency_GHz,S11_dB
1.750000000000000000e+00,-1.015297012406722876e+00
1.760000000000000009e+00,-1.015756259887853785e+00
1.770000000000000018e+00,-1.016204787606961757e+00
1.780000000000000027e+00,-1.016654683305163953e+00
1.790000000000000036e+00,-1.017117977667501894e+00
1.800000000000000044e+00,-1.017606225003114817e+00
1.810000000000000053e+00,-1.018130105319948076e+00
1.820000000000000062e+00,-1.018699060653131205e+00
1.830000000000000071e+00,-1.019320977440403730e+00
1.840000000000000080e+00,-1.020001925355802141e+00
1.850000000000000089e+00,-1.020745961309879490e+00
1.860000000000000098e+00,-1.021555005305283981e+00
1.870000000000000107e+00,-1.022428792521744345e+00
1.879999999999999893e+00,-1.023364903437748552e+00
1.889999999999999902e+00,-1.024358871047856390e+00
1.899999999999999911e+00,-1.025404361401148989e+00
1.909999999999999920e+00,-1.026493420887896413e+00
1.919999999999999929e+00,-1.027616781073137586e+00
1.929999999999999938e+00,-1.028764209558574727e+00
1.939999999999999947e+00,-1.029924893481031001e+00
1.949999999999999956e+00,-1.031087840940712042e+00
1.959999999999999964e+00,-1.032242284977659796e+00
1.969999999999999973e+00,-1.033378074723050100e+00
1.979999999999999982e+00,-1.034486039041752514e+00
1.989999999999999991e+00,-1.035558309308160618e+00
2.000000000000000000e+00,-1.036588589834274599e+00
2.009999999999999787e+00,-1.037572366781506439e+00
2.020000000000000018e+00,-1.038507049001160976e+00
2.029999999999999805e+00,-1.039392037020394177e+00
2.040000000000000036e+00,-1.040228719183282635e+00
2.049999999999999822e+00,-1.041020396646807233e+00
2.060000000000000053e+00,-1.041772141417102615e+00
2.069999999999999840e+00,-1.042490593815168953e+00
2.080000000000000071e+00,-1.043183707631782475e+00
2.089999999999999858e+00,-1.043860452739925559e+00
2.100000000000000089e+00,-1.044530486069565001e+00
2.109999999999999876e+00,-1.045203802617096001e+00
2.120000000000000107e+00,-1.045890378570636825e+00
2.129999999999999893e+00,-1.046599818695591821e+00
2.140000000000000124e+00,-1.047341019855332789e+00
2.149999999999999911e+00,-1.048121861948924982e+00
2.160000000000000142e+00,-1.048948936641062701e+00
2.169999999999999929e+00,-1.049827323046564009e+00
2.180000000000000160e+00,-1.050760418026254639e+00
2.189999999999999947e+00,-1.051749826973242596e+00
2.200000000000000178e+00,-1.052795318950840553e+00
2.209999999999999964e+00,-1.053894847834181192e+00
2.220000000000000195e+00,-1.055044638770646026e+00
2.229999999999999982e+00,-1.056239336891698688e+00
2.240000000000000213e+00,-1.057472212874515982e+00
2.250000000000000000e+00,-1.058735417769963716e+00
2.259999999999999787e+00,-1.060020277589053483e+00
